banglore,chennai,delhi,faridabad,ghaziabad,gurgaon,hyderabad,mumbai,noida,pune,Don't Know,East,North,North-East,North-West,South,South-East,South-West,West,Borewell,Both,Corporation,Apartment,Gated Community,Independent Floor/builder Floor,Independent House/villa,Furnishing,Bathroom,Security,BHK,Parking,Age_Building,Balcony,Price_per_sqft,Area_transform,Rent_transform
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2,1,3,3,4,2,23.974763406940063,7.368339686311381,194.93588689617928
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,3,1,3,3,5,1,27.142857142857142,7.24422751560335,194.93588689617928
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2,1,3,2,1,2,23.506988564167724,7.3613754289773485,192.35384061671346
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,3,1,3,3,4,2,18.271604938271604,7.613324979540639,192.35384061671346
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,3,1,3,3,3,2,16.949152542372882,7.66105638236183,189.73665961010275
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2,1,3,3,5,1,23.017902813299234,7.355001921105257,189.73665961010275
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,3,1,3,3,4,1,16.018306636155607,7.68937110752969,187.08286933869707
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,3,1,3,3,3,3,18.867924528301888,7.5256399750415355,187.08286933869707
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2,1,2,3,1,2,29.86348122866894,7.066466970136958,187.08286933869707
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,3,1,3,3,2,3,20.58823529411765,7.438383530044307,187.08286933869707
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,1,3,2,2,5,16.867469879518072,7.637716432664798,187.08286933869707
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,3,1,3,3,1,2,19.02173913043478,7.517520850603031,187.08286933869707
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,3,0,4,3,2,2,14.583333333333334,7.783224016336037,187.08286933869707
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2,1,2,3,3,1,29.761904761904763,7.069874128458572,187.08286933869707
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2,1,3,3,3,1,23.28767123287671,7.286191714702382,184.39088914585776
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,3,1,3,3,2,3,18.24212271973466,7.500529485395295,181.6590212458495
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,2,1,3,3,2,2,20.357803824799507,7.390798521735676,181.6590212458495
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,3,1,3,3,2,3,20.356234096692113,7.360103972989152,178.88543819998318
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,3,1,3,3,5,1,18.71345029239766,7.444248649496705,178.88543819998318
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,3,1,3,2,2,2,18.658892128279884,7.44716835960004,178.88543819998318
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,3,1,3,3,3,0,22.63083451202263,7.254177846456518,178.88543819998318
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1,3,3,5,1,23.529411764705884,7.215239978730097,178.88543819998318
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,1,2,2,4,3,24.634334103156274,7.1693500166706,178.88543819998318
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,3,1,3,3,3,4,19.21921921921922,7.417580402414544,178.88543819998318
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,3,1,3,3,5,2,18.62630966239814,7.4489161025442,178.88543819998318
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,2,1,3,3,2,3,24.615384615384617,7.170119543449628,178.88543819998318
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2,1,2,3,2,1,29.09090909090909,7.003065458786462,178.88543819998318
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,3,1,3,3,2,1,17.796610169491526,7.478734825567875,177.48239349298848
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,3,1,3,2,2,1,18.155619596541786,7.45876269238096,177.48239349298848
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2,1,2,3,2,2,23.298816568047336,7.20934025660291,177.48239349298848
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,3,1,3,3,3,1,17.172295363480252,7.465655310134056,173.20508075688772
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,3,1,3,3,2,2,17.647058823529413,7.438383530044307,173.20508075688772
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,3,1,3,3,2,2,17.953321364452425,7.421177528595393,173.20508075688772
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,1,2,3,1,2,30.0,6.907755278982137,173.20508075688772
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,2,1,2,3,1,1,24.077046548956663,7.1276936993473985,173.20508075688772
